Country,health_count,total_sentences,total_words,health_percent,population,sids,income,democracy,health_expenditure,coal_rents,temperature_change,air_pollution,HES,HES_1,HES_2,HES_3,HES_4,health_topic,economy_topic,energy_topic,agri_topic,Other_1,Other_2,eu
COM,6,286,10307,0.058212865043174536,13.586841583251953,1,7.148498058319092,7.6666669845581055,7.486647367,0,0.424925388,18.600000381469727,3,1,1,1,0,0.12126203450429146,0.1590256590923998,0.1510181945552375,0.1984789616342927,0.1987395236938795,0.17147562651989906,Non-EU
CPV,1,194,8589,0.011642798928862498,13.182792663574219,1,8.049101829528809,10,4.843254015,0,0.402594726,32,1,1,0,0,0,0.12821219932867703,0.1099736529655349,0.30237222379701667,0.2914506125679296,0.09346097735780066,0.07453033398304117,Non-EU
CRI,7,221,7373,0.09494100094941,15.40461254119873,0,9.364473342895508,10,7.533469051,0,0.808764449,15.899999618530273,3,1,1,1,0,0.17274557975210592,0.14767510031287062,0.1999546980195128,0.12552884321746138,0.1863879990072532,0.16770777969079603,Non-EU
CUB,8,144,5121,0.15621948838117555,16.24341583251953,1,8.994767189025879,1.1666666269302368,12.21775115,0,0.443092561,18.399999618530273,4,1,1,1,1,0.11134227450829828,0.2119608706242644,0.14942269375195366,0.0980289607257954,0.18037431513181185,0.2488708852578765,Non-EU
CYP,0,33,1133,0,13.972674369812012,0,10.107754707336426,10,6.78870976,0,1.114073421,16.799999237060547,0,0,0,0,0,0.02671368440476712,0.12137289718249872,0.5963116282310038,0.06700286816271715,0.12716531175336296,0.06143361026565015,EU
CZE,0,33,1133,0,16.17318344116211,0,9.8235445022583,9.75,7.149598747,0.126597406,0.964546856,15.100000381469727,0,0,0,0,0,0.02671368440476712,0.12137289718249872,0.5963116282310038,0.06700286816271715,0.12716531175336296,0.06143361026565015,EU
DEU,0,33,1133,0,18.226472854614258,0,10.647777557373047,10,11.13065928,0.01435292,0.87191973,11.699999809265137,0,0,0,0,0,0.02671368440476712,0.12137289718249872,0.5963116282310038,0.06700286816271715,0.12716531175336296,0.06143361026565015,EU
DJI,1,219,5795,0.01725625539257981,13.741984367370605,0,7.943916320800781,4.5,3.749318421,0,1.049105848,40.400001525878906,0,0,0,0,0,0.17323183662838074,0.12366158166948972,0.1451354611934514,0.2252716593703488,0.1990178182146387,0.13368164292369067,Non-EU
DMA,10,268,10418,0.0959877135726627,11.174749374389648,1,8.99726676940918,10,5.210321769,0,0.481775967,18.200000762939453,2,1,1,0,0,0.2505189829346896,0.21166749679219743,0.1544041693564627,0.09822438545106736,0.09697128788797243,0.18821367757761032,Non-EU
DNK,0,33,1133,0,15.56087875366211,0,10.908960342407227,10,10.18123403,0,0.606633398,10.100000381469727,0,0,0,0,0,0.02671368440476712,0.12137289718249872,0.5963116282310038,0.06700286816271715,0.12716531175336296,0.06143361026565015,EU
DOM,3,45,1495,0.2006688963210702,16.1570987701416,1,8.893006324768066,7.5833330154418945,6.096604094,0,0.605955719,12.899999618530273,1,1,0,0,0,0.1584360020485196,0.178177158320738,0.22360106840558125,0.10735346180914453,0.14633601112970018,0.18609629828631644,Non-EU
DZA,3,120,3397,0.08831321754489255,17.518081665039062,0,8.280564308166504,4.25,6.603844464,0,0.270053589,35.20000076293945,1,1,0,0,0,0.13885943336287002,0.14702538116560446,0.25669492640389396,0.08433653437828265,0.19628237324578748,0.17680135144356146,Non-EU
ECU,31,467,18515,0.16743181204428842,16.618331909179688,0,8.709480285644531,6.6666669845581055,8.295960724,0,1.325430679,14.899999618530273,5,1,1,1,1,0.11358612782830647,0.10836405486196717,0.10708787139363818,0.1516692246324238,0.26128735446188095,0.2580053668217833,Non-EU
EGY,14,176,4440,0.3153153153153153,18.363550186157227,0,8.167641639709473,2.75,5.363046378,0,1.682413938,79.30000305175781,4,1,1,1,1,0.18336125927239713,0.19766092445167893,0.21944191152993212,0.14924337998267384,0.0916779058647845,0.15861461889853354,Non-EU
ESP,0,33,1133,0,17.654619216918945,0,10.185111999511719,10,8.97140801,0.00112824,1.132074292,9.5,0,0,0,0,0,0.02671368440476712,0.12137289718249872,0.5963116282310038,0.06700286816271715,0.12716531175336296,0.06143361026565015,EU
EST,0,33,1133,0,14.089947700500488,0,9.811223983764648,9.75,6.503356993,0,0.446660311,6.699999809265137,0,0,0,0,0,0.02671368440476712,0.12137289718249872,0.5963116282310038,0.06700286816271715,0.12716531175336296,0.06143361026565015,EU
ETH,11,151,3955,0.2781289506953224,18.45608139038086,0,6.575249671936035,2.1666667461395264,3.85119468,0,0.641419525,34.400001525878906,3,1,1,1,0,0.1877642948105185,0.26334872872717124,0.19444183050584432,0.14815464756553184,0.12234203390849392,0.08394846448244019,Non-EU
FIN,0,33,1133,0,15.519404411315918,0,10.686873435974121,10,9.42838788,0,0.196447458,5.900000095367432,0,0,0,0,0,0.02671368440476712,0.12137289718249872,0.5963116282310038,0.06700286816271715,0.12716531175336296,0.06143361026565015,EU
FJI,1,121,3707,0.02697599136768276,13.679001808166504,1,8.639643669128418,5.9166669845581055,3.534800932,0,0.58228573,10.199999809265137,2,1,1,0,0,0.2129083697872306,0.22578126699861492,0.2640135204689798,0.0895491655240442,0.08438635832706454,0.123361318894066,Non-EU
FRA,0,33,1133,0,18.016035079956055,0,10.517651557922363,9.333333969116211,11.4789255,0,0.460323965,11.600000381469727,0,0,0,0,0,0.02671368440476712,0.12137289718249872,0.5963116282310038,0.06700286816271715,0.12716531175336296,0.06143361026565015,EU
FSM,0,35,1187,0,11.610188484191895,1,8.011255264282227,10,12.59096563,0.037,0.698816242,10.199999809265137,0,0,0,0,0,0.15773516119259506,0.1795163258784222,0.34370615510615166,0.04805531604556413,0.18652959226773577,0.08445744950953117,Non-EU
GAB,0,90,4133,0,14.51258659362793,0,8.850762367248535,4.5,3.107697517,0,1.194297436,38.5,0,0,0,0,0,0.05826288741354085,0.15230273278923406,0.1603193590665266,0.11361736322013416,0.1959130765778115,0.3195845809327528,Non-EU
GBR,0,33,1133,0,17.999263763427734,0,10.62313461303711,10,9.699044377,0.00211957,0.594128461,10.5,0,0,0,0,0,0.02671368440476712,0.12137289718249872,0.5963116282310038,0.06700286816271715,0.12716531175336296,0.06143361026565015,EU
GEO,5,89,3102,0.16118633139909735,15.13124942779541,0,8.309473037719727,7.5833330154418945,8.421346545,0.00979138,0.927460167,21.200000762939453,2,1,1,0,0,0.19197486917918455,0.161633816952786,0.25659347444723707,0.13712650349957753,0.13957527166001588,0.11309606426119909,Non-EU
GHA,9,173,4830,0.18633540372670807,17.16478157043457,0,7.565994739532471,9.083333969116211,3.461577371,0,0.843309825,31.899999618530273,4,1,1,1,1,0.12864475350133395,0.14752232776067734,0.3203789904229579,0.14884304678387258,0.1505071901706183,0.10410369136053985,Non-EU
GIN,1,196,6971,0.014345144168698896,16.278379440307617,0,6.5970940589904785,5.166666507720947,5.34073934,0,0.453386576,22.399999618530273,1,1,0,0,0,0.13306606738504362,0.2172659494201915,0.12892201107850668,0.19834330603362857,0.14034325217584762,0.1820594139067821,Non-EU
GMB,5,295,10818,0.04621926418931411,14.580577850341797,0,6.5260820388793945,2.0833332538604736,2.955651097,0,-0.219555042,32.20000076293945,3,1,1,1,0,0.2261234311641006,0.18871676385639516,0.2157112461529836,0.1366668704315805,0.13443860411144629,0.09834308428349382,Non-EU
GNB,1,107,3715,0.026917900403768503,14.393491744995117,1,6.493765354156494,5.666666507720947,8.04162696,0,0.426825154,27.100000381469727,1,1,0,0,0,0.18835877459729256,0.17390031497284522,0.11108748201799176,0.21806772511192996,0.14813840178884188,0.16044730151109865,Non-EU
GNQ,2,122,3698,0.05408328826392645,14.010401725769043,0,9.131735801696777,1,3.157184273,0,0.836529974,45.900001525878906,1,1,0,0,0,0.13849551618548642,0.15202307136663487,0.1251656063435533,0.13755366763558902,0.2144517339962759,0.23231040447246057,Non-EU
GRC,0,33,1133,0,16.192829132080078,0,9.80457592010498,9.166666030883789,8.2821518180000009,0.023782409,1.310809878,15.699999809265137,0,0,0,0,0,0.02671368440476712,0.12137289718249872,0.5963116282310038,0.06700286816271715,0.12716531175336296,0.06143361026565015,EU
GRD,1,103,3099,0.032268473701193935,11.610605239868164,1,9.172467231750488,9.413433074951172,4.687991366,0,0.839660312,21.600000381469727,1,1,0,0,0,0.1802313223414406,0.21448311950301355,0.27439564604679095,0.11479766971370614,0.10293260372249384,0.113159638672555,Non-EU
GTM,8,127,4435,0.18038331454340473,16.623891830444336,0,8.328593254089355,7,6.008672342,0,0.914000935,23.600000381469727,3,1,1,1,0,0.12622489106351806,0.12974741310438592,0.12178584665867118,0.126832551315645,0.21685898362805256,0.2785503142297273,Non-EU
GUY,2,154,4683,0.04270766602605167,13.55591869354248,1,8.421259880065918,8,5.140765384,0,0.740544043,20.5,1,1,0,0,0,0.1493900876815034,0.2005980660415148,0.2168996039926268,0.13151175435417925,0.09287904371456468,0.20872144421561117,Non-EU
HND,8,91,3646,0.21941854086670326,16.04237937927246,0,7.759010314941406,6.75,8.16693753,0,1.04629125,20.100000381469727,2,1,1,0,0,0.1161841400422758,0.1688064386541293,0.10463218015532846,0.11627257871929432,0.2079984460389084,0.2861062163900638,Non-EU
HRV,0,33,1133,0,15.244468688964844,0,9.422259330749512,9.333333969116211,6.826259196,0,0.641291199,17,0,0,0,0,0,0.02671368440476712,0.12137289718249872,0.5963116282310038,0.06700286816271715,0.12716531175336296,0.06143361026565015,EU
HTI,6,166,5717,0.1049501486793773,16.19875144958496,1,6.60028076171875,5.416666507720947,8.436867595,0,0.380855112,14.600000381469727,3,1,1,1,0,0.16373112326336609,0.14768538710971502,0.1286015910783998,0.1651941597075277,0.1978495063196425,0.19693823252134895,Non-EU
